"country","daily","revenue"
"Austria","2007-3-23","12.97"
"Austria","2007-4-10","12.96"
"Austria","2007-4-11","4.99"
"Austria","2007-4-12","4.99"
"Austria","2007-4-27","0.99"
"Austria","2007-4-28","2.99"
"Austria","2007-4-29","20.95"
"Austria","2007-4-30","31.93"
"Austria","2007-4-6","7.97"
"Austria","2007-4-7","4.99"
"Austria","2007-4-8","7.99"
"Austria","2007-4-9","16.96"
"Azerbaijan","2007-3-1","14.96"
"Azerbaijan","2007-3-18","12.97"
"Azerbaijan","2007-3-19","4.99"
"Azerbaijan","2007-3-2","7.99"
"Azerbaijan","2007-3-20","16.96"
"Azerbaijan","2007-3-21","3.98"
"Azerbaijan","2007-3-22","15.97"
"Azerbaijan","2007-3-23","9.97"
"Azerbaijan","2007-4-10","17.96"
"Azerbaijan","2007-4-11","0.99"
"Azerbaijan","2007-4-12","10.98"
"Azerbaijan","2007-4-26","8.97"
"Azerbaijan","2007-4-27","7.98"
"Azerbaijan","2007-4-29","4.99"
"Azerbaijan","2007-4-30","38.93"
"Azerbaijan","2007-4-6","4.99"
"Azerbaijan","2007-4-8","6.99"
"Azerbaijan","2007-4-9","6.97"
"Azerbaijan","2007-5-14","0.99"
"Bahrain","2007-2-15","7.99"
"Bahrain","2007-2-18","2.99"
"Bahrain","2007-2-19","2.99"
"Bahrain","2007-2-20","16.98"
"Bahrain","2007-3-1","4.99"
"Bahrain","2007-3-17","9.98"
"Bahrain","2007-3-22","2.99"
"Bahrain","2007-4-10","7.98"
"Bahrain","2007-4-11","4.99"
"Bahrain","2007-4-12","4.99"
"Bahrain","2007-4-27","4.99"
"Bahrain","2007-4-28","8.98"
"Bahrain","2007-4-29","4.99"
"Bahrain","2007-4-30","5.98"
"Bahrain","2007-4-8","12.97"
"Bahrain","2007-4-9","0.99"
"Bahrain","2007-5-14","2.99"
"Bangladesh","2007-2-18","15.97"
"Bangladesh","2007-2-19","4.99"
"Bangladesh","2007-2-20","10.99"
"Bangladesh","2007-3-1","16.94"
"Bangladesh","2007-3-16","2.99"
"Bangladesh","2007-3-17","4.97"
"Bangladesh","2007-3-18","23.96"
"Bangladesh","2007-3-19","21.96"
"Bangladesh","2007-3-2","13.96"
"Bangladesh","2007-3-20","35.95"
"Bangladesh","2007-3-21","10.97"
"Bangladesh","2007-3-22","22.94"
"Bangladesh","2007-4-10","6.98"
"Bangladesh","2007-4-26","1.99"
"Bangladesh","2007-4-27","24.96"
"Bangladesh","2007-4-28","36.94"
"Bangladesh","2007-4-29","9.98"
"Bangladesh","2007-4-30","35.89"
"Bangladesh","2007-4-6","2.99"
"Bangladesh","2007-4-7","25.95"
"Bangladesh","2007-4-8","2.99"
"Bangladesh","2007-4-9","14.94"
"Bangladesh","2007-5-14","2.99"
"Belarus","2007-2-15","2.99"
"Belarus","2007-2-16","5.99"
"Belarus","2007-2-17","0.99"
"Belarus","2007-2-18","1.98"
"Belarus","2007-2-19","7.98"
"Belarus","2007-2-20","7.98"
"Belarus","2007-2-21","2.99"
"Belarus","2007-3-1","16.95"
"Belarus","2007-3-16","7.99"
"Belarus","2007-3-17","16.96"
"Belarus","2007-3-18","9.98"
"Belarus","2007-3-19","10.98"
"Belarus","2007-3-2","23.95"
"Belarus","2007-3-20","2.99"
"Belarus","2007-3-21","9.98"
"Belarus","2007-3-22","4.98"
"Belarus","2007-3-23","11.98"
"Belarus","2007-4-10","11.98"
"Belarus","2007-4-11","7.98"
"Belarus","2007-4-12","17.98"
"Belarus","2007-4-26","1.99"
"Belarus","2007-4-27","17.97"
"Belarus","2007-4-28","4.98"
"Belarus","2007-4-29","6.98"
"Belarus","2007-4-30","19.94"
"Belarus","2007-4-8","11.97"
"Belarus","2007-4-9","18.96"
"Belarus","2007-5-14","2.99"
"Bolivia","2007-2-15","1.99"
"Bolivia","2007-2-16","4.98"
"Bolivia","2007-2-17","7.98"
"Bolivia","2007-2-18","9.97"
"Bolivia","2007-2-19","2.99"
"Bolivia","2007-2-21","15.98"
"Bolivia","2007-3-1","6.97"
"Bolivia","2007-3-16","2.99"
"Bolivia","2007-3-17","7.98"
"Bolivia","2007-3-18","11.98"
"Bolivia","2007-3-19","4.98"
"Bolivia","2007-3-2","6.99"
"Bolivia","2007-3-20","9.98"
"Bolivia","2007-3-21","7.98"
"Bolivia","2007-3-23","7.97"
"Bolivia","2007-4-12","4.99"
"Bolivia","2007-4-27","9.98"
"Bolivia","2007-4-28","10.98"
"Bolivia","2007-4-29","7.98"
"Bolivia","2007-4-7","6.98"
"Bolivia","2007-4-8","15.96"
"Bolivia","2007-4-9","6.99"
"Bolivia","2007-5-14","2.99"
"Brazil","2007-2-15","57.85"
"Brazil","2007-2-16","42.88"
"Brazil","2007-2-17","55.84"
"Brazil","2007-2-18","69.82"
"Brazil","2007-2-19","52.88"
"Brazil","2007-2-20","57.88"
"Brazil","2007-2-21","46.89"
"Brazil","2007-3-1","115.70"
"Brazil","2007-3-16","5.98"
"Brazil","2007-3-17","95.79"
"Brazil","2007-3-18","144.67"
"Brazil","2007-3-19","155.63"
"Brazil","2007-3-2","83.78"
"Brazil","2007-3-20","118.75"
"Brazil","2007-3-21","178.61"
"Brazil","2007-3-22","118.74"
"Brazil","2007-3-23","88.78"
"Brazil","2007-4-10","128.68"
"Brazil","2007-4-11","125.73"
"Brazil","2007-4-12","92.79"
"Brazil","2007-4-26","34.93"
"Brazil","2007-4-27","121.71"
"Brazil","2007-4-28","109.72"
"Brazil","2007-4-29","173.67"
"Brazil","2007-4-30","246.40"
"Brazil","2007-4-5","18.96"
"Brazil","2007-4-6","96.80"
"Brazil","2007-4-7","74.82"
"Brazil","2007-4-8","96.79"
"Brazil","2007-4-9","84.79"
"Brazil","2007-5-14","22.93"
"Brunei","2007-2-15","4.99"
"Brunei","2007-2-18","3.99"
"Brunei","2007-2-20","0.99"
"Brunei","2007-2-21","2.99"
"Brunei","2007-3-19","10.97"
"Brunei","2007-3-2","0.99"
"Brunei","2007-3-21","0.99"
"Brunei","2007-3-22","9.97"
"Brunei","2007-3-23","6.98"
"Brunei","2007-4-10","0.99"
"Brunei","2007-4-11","7.98"
"Brunei","2007-4-12","2.99"
"Brunei","2007-4-27","1.98"
"Brunei","2007-4-28","4.99"
"Brunei","2007-4-29","1.98"
"Brunei","2007-4-30","12.97"
"Brunei","2007-4-6","0.99"
"Brunei","2007-4-7","12.97"
"Brunei","2007-4-8","4.99"
"Brunei","2007-4-9","6.98"
"Brunei","2007-5-14","4.99"
"Bulgaria","2007-2-15","12.97"
"Bulgaria","2007-2-16","9.98"
"Bulgaria","2007-2-17","2.99"
"Bulgaria","2007-2-19","2.99"
"Bulgaria","2007-2-20","9.97"
"Bulgaria","2007-2-21","3.99"
"Bulgaria","2007-3-17","11.98"
"Bulgaria","2007-3-18","16.96"
"Bulgaria","2007-3-19","0.99"
"Bulgaria","2007-3-2","24.96"
"Bulgaria","2007-3-21","5.98"
"Bulgaria","2007-3-22","3.98"
"Bulgaria","2007-3-23","13.95"
"Bulgaria","2007-4-10","11.98"
"Bulgaria","2007-4-11","13.97"
"Bulgaria","2007-4-12","7.98"
"Bulgaria","2007-4-27","1.99"
"Bulgaria","2007-4-30","16.95"
"Bulgaria","2007-4-8","18.97"
"Bulgaria","2007-5-14","0.99"
"Cambodia","2007-2-14","4.99"
"Cambodia","2007-2-15","1.99"
"Cambodia","2007-2-16","10.99"
"Cambodia","2007-2-17","0.99"
"Cambodia","2007-2-18","3.99"
"Cambodia","2007-2-19","2.99"
"Cambodia","2007-2-20","3.98"
"Cambodia","2007-2-21","6.98"
"Cambodia","2007-3-1","4.99"
"Cambodia","2007-3-17","2.98"
"Cambodia","2007-3-18","2.98"
"Cambodia","2007-3-19","16.97"
"Cambodia","2007-3-22","0.99"
"Cambodia","2007-3-23","1.98"
"Cambodia","2007-4-10","4.98"
"Cambodia","2007-4-11","1.99"
"Cambodia","2007-4-12","13.98"
"Cambodia","2007-4-26","2.99"
"Cambodia","2007-4-27","14.97"
"Cambodia","2007-4-28","7.98"
"Cambodia","2007-4-29","13.97"
"Cambodia","2007-4-30","4.99"
"Cambodia","2007-4-6","17.96"
"Cambodia","2007-4-7","3.99"
"Cambodia","2007-4-8","5.98"
"Cambodia","2007-4-9","7.98"
"Cambodia","2007-5-14","9.96"
"Cameroon","2007-2-15","0.99"
"Cameroon","2007-2-16","14.97"
"Cameroon","2007-2-18","4.99"
"Cameroon","2007-2-19","4.98"
"Cameroon","2007-2-21","7.98"
"Cameroon","2007-3-1","0.99"
"Cameroon","2007-3-17","17.96"
"Cameroon","2007-3-18","17.96"
"Cameroon","2007-3-19","0.99"
"Cameroon","2007-3-2","15.96"
"Cameroon","2007-3-20","0.99"
"Cameroon","2007-3-21","5.98"
"Cameroon","2007-3-22","0.99"
"Cameroon","2007-3-23","9.98"
"Cameroon","2007-4-11","6.98"
"Cameroon","2007-4-12","7.97"
"Cameroon","2007-4-27","25.95"
"Cameroon","2007-4-28","16.96"
"Cameroon","2007-4-30","7.97"
"Cameroon","2007-4-7","4.99"
"Cameroon","2007-4-9","2.99"
"Cameroon","2007-5-14","6.97"
"Canada","2007-2-15","6.97"
"Canada","2007-2-16","4.98"
"Canada","2007-2-17","3.98"
"Canada","2007-2-18","30.95"
"Canada","2007-2-20","12.96"
"Canada","2007-2-21","15.96"
"Canada","2007-3-1","44.92"
"Canada","2007-3-17","28.95"
"Canada","2007-3-18","25.95"
"Canada","2007-3-19","34.95"
"Canada","2007-3-2","29.94"
"Canada","2007-3-20","39.91"
"Canada","2007-3-21","17.95"
"Canada","2007-3-22","18.95"
"Canada","2007-3-23","17.96"
"Canada","2007-4-10","5.98"
"Canada","2007-4-11","20.95"
"Canada","2007-4-26","6.99"
"Canada","2007-4-27","28.92"
"Canada","2007-4-28","24.95"
"Canada","2007-4-29","7.97"
"Canada","2007-4-30","57.88"
"Canada","2007-4-5","7.99"
"Canada","2007-4-6","16.95"
"Canada","2007-4-7","7.96"
"Canada","2007-4-8","8.97"
"Canada","2007-4-9","24.93"
"Canada","2007-5-14","3.98"
"Chad","2007-2-16","4.99"
"Chad","2007-2-21","4.99"
"Chad","2007-3-1","9.98"
"Chad","2007-3-17","19.97"
"Chad","2007-3-18","8.96"
"Chad","2007-3-20","5.98"
"Chad","2007-3-21","4.99"
"Chad","2007-3-22","12.98"
"Chad","2007-3-23","0.99"
"Chad","2007-4-10","9.98"
"Chad","2007-4-12","2.99"
"Chad","2007-4-29","7.98"
"Chad","2007-4-30","5.98"
"Chad","2007-4-7","4.99"
"Chad","2007-4-8","16.97"
"Chile","2007-2-15","15.97"
"Chile","2007-2-16","4.99"
"Chile","2007-2-17","7.98"
"Chile","2007-2-18","5.98"
"Chile","2007-2-19","4.99"
"Chile","2007-2-20","6.98"
"Chile","2007-2-21","4.98"
"Chile","2007-3-1","10.97"
"Chile","2007-3-17","18.96"
"Chile","2007-3-18","11.98"
"Chile","2007-3-19","14.97"
"Chile","2007-3-2","26.94"
"Chile","2007-3-20","16.97"
"Chile","2007-3-21","11.97"
"Chile","2007-3-22","11.98"
"Chile","2007-3-23","24.96"
"Chile","2007-4-10","17.94"
"Chile","2007-4-12","3.99"
"Chile","2007-4-26","9.99"
"Chile","2007-4-27","6.98"
"Chile","2007-4-28","3.99"
"Chile","2007-4-29","4.99"
"Chile","2007-4-30","10.98"
"Chile","2007-4-6","5.98"
"Chile","2007-4-7","12.98"
"Chile","2007-4-8","0.99"
"Chile","2007-4-9","22.96"
"China","2007-2-14","7.97"
"China","2007-2-15","102.75"
"China","2007-2-16","111.74"
"China","2007-2-17","115.69"
"China","2007-2-18","74.83"
"China","2007-2-19","130.72"
"China","2007-2-20","116.71"
"China","2007-2-21","82.82"
"China","2007-3-1","238.42"
"China","2007-3-16","23.94"
"China","2007-3-17","253.41"
"China","2007-3-18","181.54"
"China","2007-3-19","191.54"
"China","2007-3-2","223.50"
"China","2007-3-20","243.38"
"China","2007-3-21","274.30"
"China","2007-3-22","237.39"
"China","2007-3-23","194.52"
"China","2007-4-10","179.53"
"China","2007-4-11","132.61"
"China","2007-4-12","165.65"
"China","2007-4-26","11.96"
"China","2007-4-27","202.44"
"China","2007-4-28","162.55"
"China","2007-4-29","216.44"
"China","2007-4-30","638.64"
"China","2007-4-5","34.92"
"China","2007-4-6","175.56"
"China","2007-4-7","191.54"
"China","2007-4-8","117.63"
"China","2007-4-9","175.52"
"China","2007-5-14","40.87"
"Colombia","2007-2-15","9.97"
"Colombia","2007-2-16","14.96"
"Colombia","2007-2-17","10.97"
"Colombia","2007-2-18","7.98"
"Colombia","2007-2-19","15.97"
"Colombia","2007-2-20","12.98"
"Colombia","2007-3-1","34.95"
"Colombia","2007-3-16","2.99"
"Colombia","2007-3-17","8.98"
"Colombia","2007-3-18","37.93"
"Colombia","2007-3-19","30.91"
"Colombia","2007-3-2","23.95"
"Colombia","2007-3-20","29.93"
"Colombia","2007-3-21","38.93"
"Colombia","2007-3-22","32.92"
"Colombia","2007-3-23","10.97"
"Colombia","2007-4-10","23.94"
"Colombia","2007-4-11","15.96"
"Colombia","2007-4-12","33.93"
"Colombia","2007-4-26","4.99"
"Colombia","2007-4-27","12.97"
"Colombia","2007-4-28","13.96"
"Colombia","2007-4-29","38.91"
"Colombia","2007-4-30","61.85"
"Colombia","2007-4-5","4.99"
"Colombia","2007-4-6","30.94"
"Colombia","2007-4-7","15.96"
"Colombia","2007-4-8","38.94"
"Colombia","2007-4-9","23.94"
"Colombia","2007-5-14","14.97"
"Congo, The Democratic Republic of the","2007-2-15","10.96"
"Congo, The Democratic Republic of the","2007-2-17","1.98"
"Congo, The Democratic Republic of the","2007-2-18","4.99"
"Congo, The Democratic Republic of the","2007-2-20","5.99"
"Congo, The Democratic Republic of the","2007-2-21","4.99"
"Congo, The Democratic Republic of the","2007-3-1","20.93"
"Congo, The Democratic Republic of the","2007-3-17","17.97"
"Congo, The Democratic Republic of the","2007-3-18","0.99"
"Congo, The Democratic Republic of the","2007-3-19","15.97"
"Congo, The Democratic Republic of the","2007-3-2","12.98"
"Congo, The Democratic Republic of the","2007-3-20","10.97"
"Congo, The Democratic Republic of the","2007-3-21","5.99"
"Congo, The Democratic Republic of the","2007-3-22","3.98"
"Congo, The Democratic Republic of the","2007-3-23","4.99"
"Congo, The Democratic Republic of the","2007-4-11","11.98"
"Congo, The Democratic Republic of the","2007-4-12","5.99"
"Congo, The Democratic Republic of the","2007-4-27","0.99"
"Congo, The Democratic Republic of the","2007-4-28","7.98"
"Congo, The Democratic Republic of the","2007-4-29","2.99"
"Congo, The Democratic Republic of the","2007-4-6","6.99"
"Congo, The Democratic Republic of the","2007-4-7","4.99"
"Congo, The Democratic Republic of the","2007-4-9","2.99"
"Czech Republic","2007-2-17","7.99"
"Czech Republic","2007-2-19","7.98"
"Czech Republic","2007-3-1","3.99"
"Czech Republic","2007-3-18","6.98"
"Czech Republic","2007-3-2","3.99"
"Czech Republic","2007-3-20","8.99"
"Czech Republic","2007-3-21","18.97"
"Czech Republic","2007-3-22","2.99"
"Czech Republic","2007-4-10","9.99"
"Czech Republic","2007-4-11","9.98"
"Czech Republic","2007-4-12","12.98"
"Czech Republic","2007-4-27","1.99"
"Czech Republic","2007-4-28","2.99"
"Czech Republic","2007-4-29","9.97"
"Czech Republic","2007-4-30","2.99"
"Czech Republic","2007-4-6","2.99"
"Czech Republic","2007-4-8","3.98"
"Czech Republic","2007-4-9","12.98"
"Dominican Republic","2007-2-16","2.99"
"Dominican Republic","2007-2-18","5.99"
"Dominican Republic","2007-2-19","6.97"
"Dominican Republic","2007-2-20","14.97"
"Dominican Republic","2007-2-21","2.99"
"Dominican Republic","2007-3-1","28.92"
"Dominican Republic","2007-3-17","8.97"
"Dominican Republic","2007-3-18","18.97"
"Dominican Republic","2007-3-19","5.98"
"Dominican Republic","2007-3-2","15.95"
"Dominican Republic","2007-3-20","26.93"
"Dominican Republic","2007-3-21","0.99"
"Dominican Republic","2007-3-22","21.95"
"Dominican Republic","2007-3-23","5.99"
"Dominican Republic","2007-4-10","20.96"
"Dominican Republic","2007-4-11","9.98"
"Dominican Republic","2007-4-26","4.99"
"Dominican Republic","2007-4-28","5.98"
"Dominican Republic","2007-4-29","22.96"
"Dominican Republic","2007-4-30","24.95"
"Dominican Republic","2007-4-6","5.98"
"Dominican Republic","2007-4-7","2.99"
"Dominican Republic","2007-4-8","23.94"
"Dominican Republic","2007-4-9","12.97"
"Ecuador","2007-2-15","4.99"
"Ecuador","2007-2-16","10.97"
"Ecuador","2007-2-19","33.96"
"Ecuador","2007-2-20","4.98"
"Ecuador","2007-3-1","10.95"
"Ecuador","2007-3-17","10.98"
"Ecuador","2007-3-18","7.99"
"Ecuador","2007-3-19","16.96"
"Ecuador","2007-3-2","3.99"
"Ecuador","2007-3-20","12.98"
"Ecuador","2007-3-21","23.94"
"Ecuador","2007-3-22","38.93"
"Ecuador","2007-3-23","20.95"
"Ecuador","2007-4-10","0.99"
"Ecuador","2007-4-11","9.97"
"Ecuador","2007-4-12","26.96"
"Ecuador","2007-4-26","4.99"
"Ecuador","2007-4-27","17.96"
"Ecuador","2007-4-28","12.97"
"Ecuador","2007-4-29","9.97"
"Ecuador","2007-4-30","40.93"
"Ecuador","2007-4-5","2.98"
"Ecuador","2007-4-6","7.97"
"Ecuador","2007-4-7","9.98"
"Ecuador","2007-4-8","11.97"
"Ecuador","2007-4-9","8.97"
"Egypt","2007-2-14","7.99"
"Egypt","2007-2-15","11.97"
"Egypt","2007-2-16","11.97"
"Egypt","2007-2-17","11.96"
"Egypt","2007-2-18","20.95"
"Egypt","2007-2-19","19.96"
"Egypt","2007-2-20","18.97"
"Egypt","2007-2-21","17.96"
"Egypt","2007-3-1","40.91"
"Egypt","2007-3-16","10.98"
"Egypt","2007-3-17","5.98"
"Egypt","2007-3-18","25.95"
"Egypt","2007-3-19","26.94"
"Egypt","2007-3-2","33.92"
"Egypt","2007-3-20","13.97"
"Egypt","2007-3-21","38.90"
"Egypt","2007-3-22","29.93"
"Egypt","2007-3-23","28.92"
"Egypt","2007-4-10","7.98"
"Egypt","2007-4-11","24.94"
"Egypt","2007-4-12","8.96"
"Egypt","2007-4-27","54.89"
"Egypt","2007-4-28","46.92"
"Egypt","2007-4-29","28.93"
"Egypt","2007-4-30","22.91"
"Egypt","2007-4-6","14.97"
"Egypt","2007-4-7","26.94"
"Egypt","2007-4-8","16.97"
"Egypt","2007-4-9","26.94"
"Estonia","2007-2-15","6.97"
"Estonia","2007-2-19","4.99"
"Estonia","2007-2-21","13.98"
"Estonia","2007-3-1","9.98"
"Estonia","2007-3-17","11.98"
"Estonia","2007-3-18","2.99"
"Estonia","2007-3-19","3.98"
"Estonia","2007-3-2","7.98"
"Estonia","2007-3-20","3.98"
"Estonia","2007-3-22","4.99"
"Estonia","2007-3-23","5.98"
"Estonia","2007-4-10","5.98"
"Estonia","2007-4-11","2.99"
"Estonia","2007-4-28","3.99"
"Estonia","2007-4-30","1.99"
"Estonia","2007-4-5","4.99"
"Estonia","2007-4-6","0.99"
"Estonia","2007-4-8","6.99"
"Ethiopia","2007-2-15","6.99"
"Ethiopia","2007-2-16","2.99"
"Ethiopia","2007-2-18","2.99"
"Ethiopia","2007-2-20","4.99"
"Ethiopia","2007-3-1","4.99"
"Ethiopia","2007-3-17","9.98"
"Ethiopia","2007-3-18","7.98"
"Ethiopia","2007-3-2","0.99"
"Ethiopia","2007-3-20","12.98"
"Ethiopia","2007-3-21","12.97"
"Ethiopia","2007-4-11","3.98"
"Ethiopia","2007-4-28","5.97"
"Ethiopia","2007-4-29","9.99"
"Ethiopia","2007-4-30","0.99"
"Ethiopia","2007-4-6","2.99"
"Faroe Islands","2007-3-1","2.99"
"Faroe Islands","2007-3-17","10.98"
"Faroe Islands","2007-3-18","2.99"
"Faroe Islands","2007-3-19","4.99"
"Faroe Islands","2007-3-20","5.99"
"Faroe Islands","2007-3-21","8.97"
"Faroe Islands","2007-3-22","7.98"
"Faroe Islands","2007-4-10","8.98"
"Faroe Islands","2007-4-27","2.99"
"Faroe Islands","2007-4-28","2.99"
"Faroe Islands","2007-4-29","7.98"
"Faroe Islands","2007-4-30","16.97"
"Faroe Islands","2007-4-7","9.98"
"Faroe Islands","2007-4-8","0.99"
"Faroe Islands","2007-5-14","0.99"
"Finland","2007-3-1","6.99"
"Finland","2007-3-17","0.99"
"Finland","2007-3-18","8.99"
"Finland","2007-3-19","5.98"
"Finland","2007-3-2","7.98"
"Finland","2007-3-21","0.99"
"Finland","2007-3-22","8.98"
"Finland","2007-3-23","4.99"
"Finland","2007-4-12","0.99"
"Finland","2007-4-28","8.98"
"Finland","2007-4-29","5.99"
"Finland","2007-4-5","0.99"
"Finland","2007-4-6","2.99"
"Finland","2007-4-7","2.99"
"Finland","2007-4-8","3.99"
"Finland","2007-4-9","5.98"
"France","2007-2-14","4.99"
"France","2007-2-15","8.98"
"France","2007-2-16","0.99"
"France","2007-2-17","3.98"
"France","2007-2-18","11.96"
"France","2007-2-19","7.98"
"France","2007-2-20","10.95"
"France","2007-2-21","2.99"
"France","2007-3-16","4.99"
"France","2007-3-17","13.96"
"France","2007-3-18","3.99"
"France","2007-3-19","16.95"
"France","2007-3-2","11.96"
"France","2007-3-20","3.98"
"France","2007-3-21","13.96"
"France","2007-3-22","10.97"
"France","2007-4-10","6.98"
"France","2007-4-11","17.96"
"France","2007-4-12","9.98"
"France","2007-4-27","8.97"
"France","2007-4-29","26.95"
"France","2007-4-30","53.89"
"France","2007-4-6","24.95"
"France","2007-4-7","14.97"
"France","2007-4-8","23.94"
"France","2007-4-9","10.96"
"France","2007-5-14","0.99"
"French Guiana","2007-2-17","7.99"
"French Guiana","2007-2-20","4.99"
"French Guiana","2007-3-17","10.98"
"French Guiana","2007-3-18","6.99"
"French Guiana","2007-3-2","19.97"
"French Guiana","2007-3-20","0.99"
"French Guiana","2007-3-21","7.98"
"French Guiana","2007-4-10","3.99"
"French Guiana","2007-4-12","0.99"
"French Guiana","2007-4-28","6.99"
